Test Case,Question,Expected Answer,Bot Response,BLEU Score,ROUGE-1 F1,ROUGE-2 F1,ROUGE-L F1
1,question,expected_answer,"I don't have information about your specific question, could you please provide more context or clarify what you're asking? If I'm unsure or don't know the answer, I can suggest contacting the bank's helpline number: 16234.",0.00E+00,0,0,0
2,What is this pdf actually about?,"This report focuses  about the wide consumer expectation, perception and its implementation possibility for the CBL to overcome the all kinds of customer objections for the service failure and weakness.First part of this report is based on the introduction which includes topics like origin, objective, background, methodology, limitation of the study.Next part is basically about the tasks done  during the internship.","Based on the provided context, it appears that this PDF document contains information related to banking and financial services offered by City Bank Limited. The content includes sections on:

1. Cheque Book: How cheque books are issued, the required documents for requisition, and the four main items on a cheque.
2. Card Service: Types of cards provided by City Bank, including ATM cards, debit cards, and credit cards (American Express).
3. Remittance: Definition of remittance, transfer of money by foreign workers to their home country, and account closing procedures.
4. Objective of the Study: The study's purpose is not explicitly stated in this section, but it mentions that secondary information was collected from various sources.

Based on the provided context, it seems that this PDF document is likely a guide or manual for City Bank employees, covering various aspects of banking services and procedures. However, without more specific information, it is difficult to determine the exact purpose of the document.",2.97E-155,0.115384611,0.019230765,0.102564098
3,Describe the role of Customer Service in banking.,"Customer service is the process of ensuring customer satisfaction with a product or service. Often, customer service takes place while performing a transaction for the customer, such as making a sale or returning an item. In Banks, customer service includes processing cheque, cash and direct debit payments and withdrawals, setting up and maintaining customers' accounts, dealing with enquiries, promoting and selling financial products and services to customers, using a computerized system to update account details, general administration tasks such as maintaining records, opening post and sending letters to customers, operating UK and overseas currency tills, helping customers with loan and mortgage applications.","According to the provided context, Customer Service plays a crucial role in banking. It includes processing cheque, cash and direct debit payments and withdrawals, setting up and maintaining customer accounts, dealing with enquiries, promoting and selling financial products and services to customers, using computerized systems to update account details, general administration tasks such as maintaining records, opening post and sending letters to customers, operating UK and overseas currency tills, helping customers with loan and mortgage applications.",0.5293,0.742857138,0.639534879,0.728571424
4,What is the internship report mainly about?,This internship report contains the passing study on 'The City Bank Ltd' during a three-month internship. The report is distributed in many parts according to the construction of the supervisor's report.,The internship report is mainly about highlighting general banking procedures and providing recommendations to improve customer service quality and satisfaction level based on observations and work experience during the internship period.,5.40E-155,0.296296291,0.066666662,0.296296291
5,What are the four distinct business divisions of City Bank?,The four distinct divisions of City Bank are: - Corporate & Investment Banking; - Retail Banking (including Cards); - SME Banking; & - Treasury & Market Risks.,"Based on the provided context, I can identify four distinct business divisions of City Bank:

1. Current Account
2. Savings Account
3. Corporate Banking
4. Loans",2.25E-78,0.304347821,0.117647054,0.304347821
6,What is the difference between using City Bank and online banking platforms?,"Under a real-time online banking platform, these four business divisions are supported at the back by a robust service delivery or operations setup and also a smart IT Backbone. Such centralized business segment-based business & operating model ensure specialized treatment and services to the bank's different customer segments.","I don't have information on the differences between using City Bank and online banking platforms. If you'd like to know more, I suggest contacting the bank's customer service or checking their website for more details. You can also try calling their helpline number at 16234 for assistance.",4.74E-155,0.258823524,0.043010748,0.188235289
7,What is the basic step a bank must take to differentiate from other banks?,Customer service of a bank is the basic step to create differentiation from others.,"I don't have enough information to determine the basic step a bank must take to differentiate from other banks. The provided context only discusses various banking services, products, and general guidelines, but it doesn't explicitly state how a bank can differentiate itself.

If you'd like to know more about this topic, I suggest contacting the City Bank Limited's customer service or helpline number: 16234",1.21E-78,0.22535211,0.079999997,0.197183095
8,Mention the main sources of data collection for this report.,"The main source of the primary data collection of my report was my discussion with senior officers of the Customer Service (CS) of the City Bank Limited at Gulshan Avenue Branch & their opinions & comments. The people of Customer Service sectors & their face-to-face information is my primary data. Secondary information came mainly from websites, annual report of the City Bank Limited, various book articles regarding general banking, various brochures published by The City Bank Limited.","The main sources of data collection for this report are:

1. Primary observation during attachment period
2. Practical work experience in different desks of the bank
3. Face-to-face conversation with respective clients
4. Discussion with senior officers of the Customer Service (CS) at Gulshan Avenue Branch
5. Unstructured questionnaire answered by customers and employees",0.1331,0.359999995,0.203389826,0.359999995
9,Name the sources from where necessary data and information was collected.,"1. General banking procedure manuals of the City Bank Limited. 2. Circulars, letters, and memos issued by the Banks and regulatory organization i.e. Bangladesh Bank and Govt. 3. Prudential Guidelines on General Banking issued by Bangladesh Bank. 4. Annual report of City Bank Limited. 5. Annual report of Bangladesh Bank. 6. Newspapers and journals. 7. Internet and websites.","The necessary data and information were collected from both primary and secondary sources. The primary sources include:

* Personal observation during the attachment period
* Practical work experience in different desks of the bank
* Face-to-face conversations with respective clients
* Discussions with senior officers of the Customer Service (CS) of City Bank Limited at Gulshan Avenue Branch

The main source of primary data collection was the discussion with senior officers of the Customer Service, and face-to-face information collected from customers and employees.

If you need more information or clarification, you can contact the bank's helpline number: 16234.",9.47E-79,0.113207543,0.056737584,0.113207543
10,What is the main objective of this research?,"The broad objective of this research is to get an idea about the wide utilization and knowledge about branch banking which can improve the ordinary banking services style through applying fundamental finance aspects. Moreover, this study tried to reveal the prospect of aptitude on bankers and emotional and brand value actions to the forthcoming retail customers.","I don't have enough information to determine the main objective of this research. The provided context only discusses the methodology and sources used for the study, but it does not mention the overall purpose or goal of the research.

To find out the main objective of this research, I would recommend contacting the bank's helpline number: 16234, as you suggested. They may be able to provide more information about the purpose and scope of the study.",1.24E-78,0.198019797,0.063999995,0.178217817
